
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:E9:39:00, 2024-01-08 12:06:11, 2024-01-08 12:15:23,  1, 260, WPA2, CCMP, MGT, -87,      423,        0,   0.  0.  0.  0,   7, YRDSB-A, 
A8:BD:27:E9:3C:81, 2024-01-08 12:06:11, 2024-01-08 12:15:24,  1, 260, WPA2, CCMP, MGT, -88,      185,      918,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:39:01, 2024-01-08 12:06:11, 2024-01-08 12:15:23,  1, 260, WPA2, CCMP, MGT, -86,      445,      190,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:39:02, 2024-01-08 12:06:11, 2024-01-08 12:15:23,  1, 260, OPN, ,   , -86,      436,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
A8:BD:27:E9:39:03, 2024-01-08 12:06:11, 2024-01-08 12:15:24,  1, 260, WPA2, CCMP, PSK, -88,      453,        0,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:FA:E2, 2024-01-08 12:06:12, 2024-01-08 12:15:25, 11, 260, OPN, ,   , -83,      775,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
A8:BD:27:E9:39:C3, 2024-01-08 12:06:12, 2024-01-08 12:14:09,  1, 260, WPA2, CCMP, PSK, -91,       82,        0,   0.  0.  0.  0,   0, , 
A8:BD:27:D4:49:20, 2024-01-08 12:06:12, 2024-01-08 12:15:23,  6, 260, WPA2, CCMP, MGT, -89,      424,        2,   0.  0.  0.  0,   7, YRDSB-A, 
A8:BD:27:D4:49:21, 2024-01-08 12:06:12, 2024-01-08 12:15:25,  6, 260, WPA2, CCMP, MGT, -88,      440,      702,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:3C:83, 2024-01-08 12:06:12, 2024-01-08 12:15:23,  1, 260, WPA2, CCMP, PSK, -90,      214,        0,   0.  0.  0.  0,   0, , 
