Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;YRDSB-A;A8:BD:27:E9:39:00;;1;No;WPA2,AES-CCM;No;260.0;0;423;0;0;0;0;0;;;Mon Jan  8 12:06:11 2024;Mon Jan  8 12:15:23 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;YRDSB-S;A8:BD:27:E9:3C:81;;1;No;WPA2,AES-CCM;No;260.0;0;185;0;918;0;0;918;;;Mon Jan  8 12:06:11 2024;Mon Jan  8 12:15:24 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;YRDSB-S;A8:BD:27:E9:39:01;;1;No;WPA2,AES-CCM;No;260.0;0;445;0;190;0;0;190;;;Mon Jan  8 12:06:11 2024;Mon Jan  8 12:15:23 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;YRDSB-Guest;A8:BD:27:E9:39:02;;1;No;OPN,None;No;260.0;0;436;0;0;0;0;0;;;Mon Jan  8 12:06:11 2024;Mon Jan  8 12:15:23 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;A8:BD:27:E9:39:03;;1;No;WPA2,AES-CCM;No;260.0;0;453;0;0;0;0;0;;;Mon Jan  8 12:06:11 2024;Mon Jan  8 12:15:24 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;YRDSB-Guest;70:3A:0E:5D:FA:E2;;11;No;OPN,None;No;260.0;0;775;0;0;0;0;0;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:15:25 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;A8:BD:27:E9:39:C3;;1;No;WPA2,AES-CCM;No;260.0;0;82;0;0;0;0;0;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:14:09 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;YRDSB-A;A8:BD:27:D4:49:20;;6;No;WPA2,AES-CCM;No;260.0;0;424;0;2;0;0;2;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;YRDSB-S;A8:BD:27:D4:49:21;;6;No;WPA2,AES-CCM;No;260.0;0;440;0;702;0;0;702;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:15:25 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;A8:BD:27:E9:3C:83;;1;No;WPA2,AES-CCM;No;260.0;0;214;0;0;0;0;0;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:15:23 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;YRDSB-A;A8:BD:27:E9:39:C0;;1;No;WPA2,AES-CCM;No;260.0;0;13;0;0;0;0;0;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:12:55 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;YRDSB-S;A8:BD:27:E9:39:C1;;1;No;WPA2,AES-CCM;No;260.0;0;29;0;126;0;0;126;;;Mon Jan  8 12:06:12 2024;Mon Jan  8 12:14:21 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;YRDSB-Guest;70:3A:0E:5E:00:E2;;11;No;OPN,None;No;260.0;0;858;0;0;0;0;0;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;70:3A:0E:5E:00:E3;;11;No;WPA2,AES-CCM;No;260.0;0;880;0;0;0;0;0;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;YRDSB-A;70:3A:0E:5E:00:E0;;11;No;WPA2,AES-CCM;No;260.0;0;851;0;0;0;0;0;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;YRDSB-S;70:3A:0E:5E:00:E1;;11;No;WPA2,AES-CCM;No;260.0;0;848;0;133;0;0;133;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;YRDSB-S;70:3A:0E:5D:FA:E1;;11;No;WPA2,AES-CCM;No;260.0;0;665;0;3090;0;0;3090;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;YRDSB-S;A8:BD:27:E9:41:E1;;11;No;WPA2,OPN,AES-CCM;No;260.0;0;91;0;143;0;0;143;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:25 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;YRDSB-S;A8:BD:27:E9:34:01;;6;No;WPA2,AES-CCM;No;260.0;0;1;0;62;0;0;62;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:24 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;YRDSB-Guest;A8:BD:27:E9:41:E2;;11;No;OPN,None;No;260.0;0;95;0;0;0;0;0;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:14:48 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;A8:BD:27:E9:41:E3;;11;No;WPA2,AES-CCM;No;260.0;0;88;0;0;0;0;0;;;Mon Jan  8 12:06:13 2024;Mon Jan  8 12:15:00 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;YRDSB-Guest;A8:BD:27:D4:49:22;;6;No;OPN,None;No;260.0;0;473;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:23 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;A8:BD:27:D4:49:23;;6;No;WPA2,AES-CCM;No;260.0;0;482;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;YRDSB-S;A8:BD:27:D4:41:01;;11;No;WPA2,AES-CCM;No;260.0;0;447;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:25 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;YRDSB-Guest;A8:BD:27:E9:3C:82;;1;No;OPN,None;No;260.0;0;185;0;72;0;0;72;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:24 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.180.201.3;
26;infrastructure;YRDSB-A;70:3A:0E:5D:E6:80;;1;No;WPA2,AES-CCM;No;260.0;0;229;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;YRDSB-S;70:3A:0E:5D:E6:81;;1;No;WPA2,AES-CCM;No;260.0;0;247;0;20;0;0;20;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:07 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;YRDSB-Guest;70:3A:0E:5D:E6:82;;1;No;OPN,None;No;260.0;0;227;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:08 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;;70:3A:0E:5D:E6:83;;1;No;WPA2,AES-CCM;No;260.0;0;192;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;70:3A:0E:5D:F3:83;;6;No;WPA2,AES-CCM;No;260.0;0;231;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:19 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;A8:BD:27:E9:5B:21;;6;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:14:45 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;;70:3A:0E:5D:FA:E3;;11;No;WPA2,AES-CCM;No;260.0;0;837;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:25 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;A8:BD:27:E9:44:61;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:08 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
