
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:D4:30:81, 2024-01-08 12:00:18, 2024-01-08 12:26:40,  1, 260, WPA2, CCMP, MGT, -80,       31,      188,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:A7:10:E3:8F:79, 2024-01-08 12:00:18, 2024-01-08 12:00:24, -83,        5, A8:BD:27:D4:30:81,
5E:37:DE:07:59:EF, 2024-01-08 12:07:26, 2024-01-08 12:07:26, -81,        3, A8:BD:27:D4:30:81,
72:EC:0A:3A:1C:58, 2024-01-08 12:13:36, 2024-01-08 12:13:38, -81,       13, A8:BD:27:D4:30:81,
E6:6B:6C:9C:19:7F, 2024-01-08 12:18:02, 2024-01-08 12:18:02, -86,        5, A8:BD:27:D4:30:81,
92:37:A0:FD:7B:CD, 2024-01-08 12:18:29, 2024-01-08 12:18:53, -83,      179, A8:BD:27:D4:30:81,
8E:BC:2C:61:8E:B9, 2024-01-08 12:18:34, 2024-01-08 12:18:39, -80,       41, A8:BD:27:D4:30:81,
2E:E6:54:50:88:2B, 2024-01-08 12:20:33, 2024-01-08 12:20:33, -79,        1, A8:BD:27:D4:30:81,
CA:E6:09:48:0E:EB, 2024-01-08 12:23:01, 2024-01-08 12:23:31, -86,       26, A8:BD:27:D4:30:81,
56:72:59:D5:3C:7B, 2024-01-08 12:23:40, 2024-01-08 12:23:43, -70,        7, A8:BD:27:D4:30:81,
36:CB:A5:DD:D1:30, 2024-01-08 12:23:47, 2024-01-08 12:23:54, -69,       25, A8:BD:27:D4:30:81,
CE:74:DF:EA:06:49, 2024-01-08 12:23:47, 2024-01-08 12:24:23, -63,       36, A8:BD:27:D4:30:81,
A6:6B:E2:C8:39:E5, 2024-01-08 12:23:48, 2024-01-08 12:23:48, -78,        4, A8:BD:27:D4:30:81,
22:41:E9:57:78:2C, 2024-01-08 12:25:40, 2024-01-08 12:25:41, -75,       21, A8:BD:27:D4:30:81,
3E:95:85:4F:7A:A9, 2024-01-08 12:26:34, 2024-01-08 12:26:34, -53,        2, A8:BD:27:D4:30:81,

