LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-08 12:00:18,1900-01-00 00:00:00,,8A:A7:10:E3:8F:79,-89,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:00:18,1900-01-00 00:00:00,,8A:A7:10:E3:8F:79,-88,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:00:24,1900-01-00 00:00:00,,8A:A7:10:E3:8F:79,-83,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:00:24,1900-01-00 00:00:00,,8A:A7:10:E3:8F:79,-83,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:00:24,1900-01-00 00:00:00,,8A:A7:10:E3:8F:79,-83,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:01:14,1900-01-00 00:00:00,,A8:BD:27:D4:30:81,-88, ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:01:15,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:01:55,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:02:03,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:04:36,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:04:46,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:05:35,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:05:45,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:05:47,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:05:48,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:05:49,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-93, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:06:28,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:06:30,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:07:26,1900-01-00 00:00:00,,5E:37:DE:07:59:EF,-76,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:07:26,1900-01-00 00:00:00,,5E:37:DE:07:59:EF,-79,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:07:26,1900-01-00 00:00:00,,5E:37:DE:07:59:EF,-81,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:07:54,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:07:55,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-91, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:55,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:03,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:44,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:56,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:08,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:14,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:19,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:24,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:25,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:25,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:10:35,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:13:32,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:D4:30:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
