
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:3A:0E:5E:00:E1, 2024-01-08 12:08:21, 2024-01-08 12:26:46, 11, 260, WPA2, CCMP, MGT, -90,     1544,      560,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EE:0B:C8:CA:81:8A, 2024-01-08 12:08:21, 2024-01-08 12:09:54, -85,      169, 70:3A:0E:5E:00:E1,
EA:23:AD:80:16:0E, 2024-01-08 12:08:33, 2024-01-08 12:17:18, -66,       87, 70:3A:0E:5E:00:E1,
F2:AA:DD:3C:F1:8E, 2024-01-08 12:12:54, 2024-01-08 12:23:15, -76,        6, 70:3A:0E:5E:00:E1,
92:0D:AF:A3:FE:06, 2024-01-08 12:17:33, 2024-01-08 12:17:47, -70,       21, 70:3A:0E:5E:00:E1,
AE:2B:40:DD:49:5A, 2024-01-08 12:22:07, 2024-01-08 12:22:12, -73,       16, 70:3A:0E:5E:00:E1,
16:2E:1E:A1:27:A8, 2024-01-08 12:22:48, 2024-01-08 12:24:38, -69,      144, 70:3A:0E:5E:00:E1,
F6:4E:40:70:C5:69, 2024-01-08 12:22:54, 2024-01-08 12:22:56, -53,       40, 70:3A:0E:5E:00:E1,
56:72:59:D5:3C:7B, 2024-01-08 12:24:08, 2024-01-08 12:24:10, -50,       19, 70:3A:0E:5E:00:E1,
46:B0:24:13:44:D0, 2024-01-08 12:24:31, 2024-01-08 12:24:35, -67,       21, 70:3A:0E:5E:00:E1,
52:1E:87:1E:A3:CF, 2024-01-08 12:25:31, 2024-01-08 12:25:43, -72,      389, 70:3A:0E:5E:00:E1,

