
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:3A:0E:52:07:A1, 2024-01-08 12:27:38, 2024-01-08 12:32:25, 11, 260, WPA2, CCMP, MGT, -84,      274,      317,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B2:D2:21:C7:3A:A8, 2024-01-08 12:27:39, 2024-01-08 12:27:39,  -1,        1, 70:3A:0E:52:07:A1,
9E:CA:CE:DA:F0:74, 2024-01-08 12:27:45, 2024-01-08 12:27:50, -70,       10, 70:3A:0E:52:07:A1,
5E:73:CA:54:15:C5, 2024-01-08 12:27:45, 2024-01-08 12:27:46, -86,        4, 70:3A:0E:52:07:A1,
F2:8F:CF:40:C4:CB, 2024-01-08 12:28:40, 2024-01-08 12:28:44, -88,        8, 70:3A:0E:52:07:A1,
CC:15:31:85:4B:C0, 2024-01-08 12:29:01, 2024-01-08 12:31:38, -73,        4, 70:3A:0E:52:07:A1,
9A:E8:8A:EE:7B:66, 2024-01-08 12:29:14, 2024-01-08 12:29:15, -86,       17, 70:3A:0E:52:07:A1,
26:00:65:F5:BC:43, 2024-01-08 12:29:43, 2024-01-08 12:29:54, -89,      201, 70:3A:0E:52:07:A1,
AA:B0:78:B0:32:7D, 2024-01-08 12:30:33, 2024-01-08 12:30:53, -89,       36, 70:3A:0E:52:07:A1,
F6:80:04:BF:CB:73, 2024-01-08 12:30:59, 2024-01-08 12:30:59, -87,       31, 70:3A:0E:52:07:A1,
7E:9C:EB:91:2F:BD, 2024-01-08 12:30:59, 2024-01-08 12:30:59,  -1,        5, 70:3A:0E:52:07:A1,
7E:7C:5F:DB:31:7A, 2024-01-08 12:31:51, 2024-01-08 12:31:57, -91,       35, 70:3A:0E:52:07:A1,

