Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;A8:BD:27:E9:81:E1;;11;No;WPA,None;No;-1.0;0;0;0;65;0;0;65;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:15 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;YRDSB-S;A8:BD:27:E9:8B:01;;11;No;WPA2,AES-CCM;No;260.0;0;16;0;141;0;0;141;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:15 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;A8:BD:27:E9:7C:21;;11;No;WPA,None;No;-1.0;0;0;0;7;0;0;7;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:15 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;A8:BD:27:D4:44:A1;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:16 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;YRDSB-S;A8:BD:27:E9:37:C1;;1;No;WPA2,AES-CCM;No;260.0;0;89;0;74;0;0;74;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:16 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;YRDSB-A;A8:BD:27:E2:EC:A0;;1;No;WPA2,AES-CCM;No;260.0;0;26;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:16 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;YRDSB-S;A8:BD:27:E9:3E:41;;1;No;WPA2,AES-CCM;No;260.0;0;15;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:52:45 2024;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;YRDSB-Guest;A8:BD:27:E9:3E:42;;1;No;OPN,None;No;260.0;0;19;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:13 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;A8:BD:27:E9:3E:43;;1;No;WPA2,AES-CCM;No;260.0;0;20;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:16 2024;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;YRDSB-Guest;A8:BD:27:E9:37:C2;;1;No;OPN,None;No;260.0;0;93;0;0;0;0;0;;;Mon Jan  8 11:51:52 2024;Mon Jan  8 11:53:16 2024;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
