
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:3A:0E:5D:EB:E0, 2024-01-08 11:57:13, 2024-01-08 11:57:24, 11, 260, WPA2, CCMP, MGT, -89,        5,        0,   0.  0.  0.  0,   7, YRDSB-A, 
70:3A:0E:5D:EB:E1, 2024-01-08 11:57:13, 2024-01-08 11:57:18, 11, 260, WPA2, CCMP, MGT, -87,        6,        0,   0.  0.  0.  0,   7, YRDSB-S, 
70:3A:0E:5D:EB:E2, 2024-01-08 11:57:13, 2024-01-08 11:57:18, 11, 260, OPN, ,   , -87,        7,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
A8:BD:27:E9:48:62, 2024-01-08 11:57:13, 2024-01-08 11:58:49,  1, 260, OPN, ,   , -88,        4,       58,  10.180.201.  0,  11, YRDSB-Guest, 
A8:BD:27:E9:82:41, 2024-01-08 11:57:13, 2024-01-08 11:57:34,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:EF:61, 2024-01-08 11:57:13, 2024-01-08 11:58:26,  1, 260, WPA2, CCMP, MGT, -89,       27,      786,   0.  0.  0.  0,   7, YRDSB-S, 
70:3A:0E:5D:F9:C0, 2024-01-08 11:57:13, 2024-01-08 11:58:25,  1, 260, WPA2, CCMP, MGT, -88,       69,        0,   0.  0.  0.  0,   7, YRDSB-A, 
A8:BD:27:D4:44:A1, 2024-01-08 11:57:13, 2024-01-08 11:58:19,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A8:BD:27:E2:EC:A1, 2024-01-08 11:57:13, 2024-01-08 11:58:17,  1,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:EF:60, 2024-01-08 11:57:13, 2024-01-08 11:58:13,  1, 260, WPA2, CCMP, MGT, -90,       35,        0,   0.  0.  0.  0,   7, YRDSB-A, 
70:3A:0E:5D:EF:62, 2024-01-08 11:57:13, 2024-01-08 11:58:18,  1, 260, OPN, ,   , -89,       22,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
70:3A:0E:5D:F9:C1, 2024-01-08 11:57:13, 2024-01-08 11:58:25,  1, 260, WPA2, CCMP, MGT, -88,       65,     1458,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:48:60, 2024-01-08 11:57:13, 2024-01-08 11:57:17,  1, 260, WPA2, CCMP, MGT, -88,        4,        0,   0.  0.  0.  0,   7, YRDSB-A, 
A8:BD:27:E9:48:61, 2024-01-08 11:57:13, 2024-01-08 11:58:50,  1, 260, WPA2, CCMP, MGT, -89,        3,       27,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:48:63, 2024-01-08 11:57:13, 2024-01-08 11:57:17,  1, 260, WPA2, CCMP, PSK, -85,        4,        0,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:E8:E1, 2024-01-08 11:57:13, 2024-01-08 11:58:48,  6, 260, WPA2, CCMP, MGT, -87,        6,       78,   0.  0.  0.  0,   7, YRDSB-S, 
70:3A:0E:5D:EC:00, 2024-01-08 11:57:13, 2024-01-08 11:57:18, 11, 260, WPA2, CCMP, MGT, -87,        5,        0,   0.  0.  0.  0,   7, YRDSB-A, 
70:3A:0E:5D:EC:01, 2024-01-08 11:57:13, 2024-01-08 11:57:18, 11, 260, WPA2, CCMP, MGT, -87,        6,        0,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:44:61, 2024-01-08 11:57:13, 2024-01-08 11:58:44, 11, 260, WPA2, CCMP, MGT, -86,       16,        6,   0.  0.  0.  0,   7, YRDSB-S, 
A8:BD:27:E9:44:60, 2024-01-08 11:57:14, 2024-01-08 11:57:40, 11, 260, WPA2, CCMP, MGT, -89,       13,        0,   0.  0.  0.  0,   7, YRDSB-A, 
A8:BD:27:E9:44:62, 2024-01-08 11:57:14, 2024-01-08 11:57:50, 11, 260, OPN, ,   , -89,       16,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
70:3A:0E:5D:F9:C2, 2024-01-08 11:57:14, 2024-01-08 11:58:25,  1, 260, OPN, ,   , -85,       75,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
70:3A:0E:5D:F9:C3, 2024-01-08 11:57:14, 2024-01-08 11:58:27,  1, 260, WPA2, CCMP, PSK, -90,       68,        0,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:EF:63, 2024-01-08 11:57:14, 2024-01-08 11:58:18,  1, 260, WPA2, CCMP, PSK, -88,       18,        0,   0.  0.  0.  0,   0, , 
70:3A:0E:5D:EC:02, 2024-01-08 11:57:14, 2024-01-08 11:57:21, 11, 260, OPN, ,   , -90,        6,        0,   0.  0.  0.  0,  11, YRDSB-Guest, 
