Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;YRDSB-A;70:3A:0E:5D:EB:E0;;11;No;WPA2,AES-CCM;No;260.0;0;5;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:24 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;YRDSB-S;70:3A:0E:5D:EB:E1;;11;No;WPA2,AES-CCM;No;260.0;0;6;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:18 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;YRDSB-Guest;70:3A:0E:5D:EB:E2;;11;No;OPN,None;No;260.0;0;7;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:18 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;YRDSB-Guest;A8:BD:27:E9:48:62;;1;No;OPN,None;No;260.0;0;4;0;58;0;0;58;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:49 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.180.201.0;
5;infrastructure;;A8:BD:27:E9:82:41;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:34 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;YRDSB-S;70:3A:0E:5D:EF:61;;1;No;WPA2,AES-CCM;No;260.0;0;27;0;786;0;0;786;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:26 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;YRDSB-A;70:3A:0E:5D:F9:C0;;1;No;WPA2,AES-CCM;No;260.0;0;69;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:25 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;A8:BD:27:D4:44:A1;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:19 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;A8:BD:27:E2:EC:A1;;1;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:17 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;YRDSB-A;70:3A:0E:5D:EF:60;;1;No;WPA2,AES-CCM;No;260.0;0;35;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:13 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
