LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-08 12:09:12,1900-01-00 00:00:00,,70:3A:0E:5D:F3:81,-91, ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:12,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:12,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-91, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:13,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:13,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:13,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:14,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:14,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:14,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:16,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:17,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:25,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:26,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:31,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:33,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:33,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:33,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:33,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-91, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:38,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:40,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:40,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-93, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:41,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-91, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:48,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:48,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:49,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:52,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:52,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:54,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:54,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:09:56,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5D:F3:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
