
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:3A:0E:5D:FA:E1, 2024-01-08 12:07:21, 2024-01-08 12:15:30, 11, 260, WPA2, CCMP, MGT, -85,      573,     2951,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7C:94:2A:86:62:41, 2024-01-08 12:07:23, 2024-01-08 12:15:25, -76,      961, 70:3A:0E:5D:FA:E1,
9A:E8:8A:EE:7B:66, 2024-01-08 12:07:59, 2024-01-08 12:08:34, -84,       15, 70:3A:0E:5D:FA:E1,
26:63:68:04:6C:FF, 2024-01-08 12:09:31, 2024-01-08 12:09:50, -88,       86, 70:3A:0E:5D:FA:E1,
B2:EA:05:A5:CD:D6, 2024-01-08 12:09:32, 2024-01-08 12:10:07, -70,      104, 70:3A:0E:5D:FA:E1,
7C:94:2A:43:66:D4, 2024-01-08 12:09:45, 2024-01-08 12:10:11, -82,       37, 70:3A:0E:5D:FA:E1,
56:7F:DB:3E:33:55, 2024-01-08 12:10:04, 2024-01-08 12:10:04, -77,        3, 70:3A:0E:5D:FA:E1,
6A:2A:D9:16:7D:6F, 2024-01-08 12:10:08, 2024-01-08 12:10:37, -63,       23, 70:3A:0E:5D:FA:E1,
CE:D5:BA:2C:6E:40, 2024-01-08 12:12:43, 2024-01-08 12:12:56, -87,       69, 70:3A:0E:5D:FA:E1,
26:8A:8E:84:38:B7, 2024-01-08 12:12:49, 2024-01-08 12:13:52, -90,       74, 70:3A:0E:5D:FA:E1,
BE:25:5C:E3:DD:F5, 2024-01-08 12:12:54, 2024-01-08 12:13:23, -75,      898, 70:3A:0E:5D:FA:E1,
6A:00:5A:85:98:4B, 2024-01-08 12:13:22, 2024-01-08 12:14:46, -73,     1470, 70:3A:0E:5D:FA:E1,

