
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:E9:39:01, 2024-01-08 12:05:41, 2024-01-08 12:15:30,  1, 260, WPA2, CCMP, MGT, -88,      539,      191,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0E:84:9C:F6:79:7E, 2024-01-08 12:06:19, 2024-01-08 12:06:22, -80,       52, A8:BD:27:E9:39:01,
12:DB:76:ED:B6:81, 2024-01-08 12:06:25, 2024-01-08 12:06:33, -88,       10, A8:BD:27:E9:39:01,
DE:79:E6:4F:66:34, 2024-01-08 12:06:34, 2024-01-08 12:06:35, -84,       12, A8:BD:27:E9:39:01,
EC:81:50:72:C4:8C, 2024-01-08 12:07:21, 2024-01-08 12:15:29, -69,      108, A8:BD:27:E9:39:01,
B2:EA:05:A5:CD:D6, 2024-01-08 12:08:55, 2024-01-08 12:09:08, -65,       24, A8:BD:27:E9:39:01,
26:63:68:04:6C:FF, 2024-01-08 12:10:42, 2024-01-08 12:11:07,  -1,       44, A8:BD:27:E9:39:01,
6A:9D:6A:E5:F0:4D, 2024-01-08 12:10:44, 2024-01-08 12:10:49, -84,       20, A8:BD:27:E9:39:01,
1E:27:B2:5B:1E:3E, 2024-01-08 12:10:58, 2024-01-08 12:10:58, -84,        7, A8:BD:27:E9:39:01,
12:2E:6A:35:40:D2, 2024-01-08 12:11:33, 2024-01-08 12:11:56, -82,       34, A8:BD:27:E9:39:01,YRDSB-S
6E:67:B0:F6:45:83, 2024-01-08 12:12:42, 2024-01-08 12:12:47, -90,       27, A8:BD:27:E9:39:01,
0E:25:73:78:B0:A4, 2024-01-08 12:14:01, 2024-01-08 12:14:04, -85,       19, A8:BD:27:E9:39:01,
AC:82:47:1A:B0:C1, 2024-01-08 12:14:46, 2024-01-08 12:14:46, -87,        2, A8:BD:27:E9:39:01,
D6:47:91:46:E5:E0, 2024-01-08 12:14:58, 2024-01-08 12:15:00, -89,        3, A8:BD:27:E9:39:01,
AE:2B:40:DD:49:5A, 2024-01-08 12:14:58, 2024-01-08 12:14:59, -79,        3, A8:BD:27:E9:39:01,
6A:48:F5:B5:DB:E5, 2024-01-08 12:15:12, 2024-01-08 12:15:18, -86,        6, A8:BD:27:E9:39:01,

