
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:E9:3C:81, 2024-01-08 12:10:13, 2024-01-08 12:15:27,  1, 260, WPA2, CCMP, MGT, -88,      118,       99,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
16:2E:1E:A1:27:A8, 2024-01-08 12:10:13, 2024-01-08 12:14:49, -78,      337, A8:BD:27:E9:3C:81,
B2:EA:05:A5:CD:D6, 2024-01-08 12:10:15, 2024-01-08 12:15:27, -71,       67, A8:BD:27:E9:3C:81,
D6:68:9B:3D:E7:D2, 2024-01-08 12:10:19, 2024-01-08 12:15:24, -80,      809, A8:BD:27:E9:3C:81,
F2:1C:2F:76:BB:BE, 2024-01-08 12:10:31, 2024-01-08 12:10:40, -76,        5, A8:BD:27:E9:3C:81,
2A:B3:F6:54:80:95, 2024-01-08 12:11:07, 2024-01-08 12:11:42, -77,       69, A8:BD:27:E9:3C:81,
76:49:B0:75:A8:3F, 2024-01-08 12:11:16, 2024-01-08 12:11:18, -75,       16, A8:BD:27:E9:3C:81,
EA:A5:46:62:33:F5, 2024-01-08 12:11:18, 2024-01-08 12:11:20, -87,       26, A8:BD:27:E9:3C:81,
CE:74:DF:EA:06:49, 2024-01-08 12:11:35, 2024-01-08 12:11:40, -78,       18, A8:BD:27:E9:3C:81,
AE:2B:40:DD:49:5A, 2024-01-08 12:12:53, 2024-01-08 12:14:57, -77,       41, A8:BD:27:E9:3C:81,
EC:81:50:72:C4:8C, 2024-01-08 12:13:37, 2024-01-08 12:13:54, -77,       21, A8:BD:27:E9:3C:81,
F6:80:04:BF:CB:73, 2024-01-08 12:13:41, 2024-01-08 12:13:56, -86,      122, A8:BD:27:E9:3C:81,
DA:4B:08:D4:FE:55, 2024-01-08 12:13:44, 2024-01-08 12:13:52, -85,       19, A8:BD:27:E9:3C:81,
0A:14:6E:6E:09:00, 2024-01-08 12:14:24, 2024-01-08 12:14:35, -90,        7, A8:BD:27:E9:3C:81,
0A:80:7F:10:2F:A3, 2024-01-08 12:14:41, 2024-01-08 12:14:55, -81,        8, A8:BD:27:E9:3C:81,

